Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
PJ145-2025,FormaCAo de LideranCas e InovaCAo no Ambiente UniversitArio: Empreendedorismo e Protagonismo Estudantil com o Crea Jr-MG NUcleo ItajubA,CREDSON DE SALLES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/07/25,31/12/25,NAO,,
PS008-2025,Tratamentos TErmicos e CaracterizaCAo de Materiais,DANIEL THOMAZINI,INSTITUTO DE ENGENHARIA MECÂNICA,01/07/25,31/12/25,NAO,"R$10.000,00",
EV061-2025,UNIFEI TALK | Deep Techs,JULIANA CAMINHA NORONHA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/07/25,07/07/25,SIM,,
PJ158-2025,Sistema de IntegraCAo e Controle AvanCado para Plantas de Gases Industriais SICAP GI,ERICSON MARQUIERE REIS SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/07/25,31/12/25,NAO,,
PJ162-2025,Hands-on: Desenvolvimento de Aplicativos Reais,EDMILSON MARMO MOREIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,03/07/25,31/12/25,NAO,,
PJ163-2025,Beyond Rocket Design (BRD),KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,03/07/25,31/12/25,NAO,,
EV065-2025,Roda de Acolhimento Intergeracional sobre GEnero e Envelhecimento,ISABEL CRISTINA DA SILVA ARANTES,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,06/07/25,11/07/25,SIM,,
CR045-2025,ParticipaCAo em curso de Engenharia EconOmica 1 - ContinuaCAo CR045-2024 - PrestaCAo de contas,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/07/25,18/07/25,SIM,"R$9.529,96","R$9.529,96"
CR046-2025,ParticipaCAo em curso de Engenharia EconOmica 2 - ContinuaCAo CR076-2024 - PrestaCAo de contas,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/07/25,18/07/25,SIM,"R$9.529,96","R$9.529,96"
PJ159-2025,Tatu Valente,ROGERIO FERNANDES BRITO,INSTITUTO DE ENGENHARIAS INTEGRADAS,14/07/25,31/12/25,NAO,,
PJ166-2025,Boletins mensais informativos do monitoramento da qualidade do ar em Itabira/MG (Fluxo ContInuo - RenovaCAo 2ºsem2025),ANA CAROLINA VASQUES FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,15/07/25,31/12/25,SIM,,
PJ165-2025,Pequenos Cuidadores da Terra: ConscientizaCAo Ambiental e InformaCAo com o PET Clima,FAGNER LUIS GOULART DIAS,INSTITUTO DE ENGENHARIA MECÂNICA,16/07/25,15/08/25,SIM,,
PJ170-2025,PET EAM no Youtube,IVAN FELIPE SILVA DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,17/07/25,20/12/25,NAO,,
PJ170-2025,PET EAM no Youtube,IVAN FELIPE SILVA DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,17/07/25,20/12/25,SIM,,
PJ169-2025,ElaboraCAo de rotinas computacionais para aplicaCAo na Engenharia Ambiental no PET EAM,IVAN FELIPE SILVA DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,18/07/25,20/12/25,SIM,,
PJ169-2025,ElaboraCAo de rotinas computacionais para aplicaCAo na Engenharia Ambiental no PET EAM,IVAN FELIPE SILVA DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,18/07/25,20/12/25,NAO,,
EV063-2025,VIII Encontro de Alunos e Ex-alunos de Engenharia Ambiental - EAEX,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,21/07/25,31/10/25,SIM,"R$4.800,00","R$4.800,00"
PS013-2025,RealizaCAo de Ensaios de Pull-Test em Cabos ElEtricos para a TechnipFMC,JESUS ANTONIO GARCIA SANCHEZ,INSTITUTO DE ENGENHARIA MECÂNICA,21/07/25,31/12/25,NAO,"R$5.949,96",
CR039-2025,InstrumentaCAo Industrial,ROBERTO AKIRA YAMACHITA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,22/07/25,30/09/25,SIM,"R$24.735,82","R$24.735,82"
PS009-2025,PrestaCAo de serviCos tEcnicos e verificaCAo das condiCOes de operaCAo de equipamentos,OSWALDO HONORATO DE SOUZA JUNIOR,INSTITUTO DE RECURSOS NATURAIS,23/07/25,31/12/25,NAO,"R$71.744,00",
PJ172-2025,Consultoria para a implementação e uso do programa MOdulo de cAlculo estrutural para reatores - parte 2,JESUS ANTONIO GARCIA SANCHEZ,INSTITUTO DE ENGENHARIA MECÂNICA,23/07/25,31/2/2025,NAO,"R$8.657,98",
PJ175-2025,ABU - AlianCa BIblica UniversitAria,OTAVIO DE SOUZA MARTINS GOMES,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,28/07/25,31/12/25,NAO,,
