Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Relatório Final;Receita (Prevista);Receita (Realizada)
23088.003328/2016-36;2016;Equipe de Competição Tecnológica Black Bee Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;Sim;R$ 78.492,54;R$ 78.492,54
23088.006211/2018-76;2018;Projeto de Competição Tecnológica Black Bee Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;Sim;R$ 50.000,00;R$ 30.202,80
23088.010924/2016-72;2016;Curso de Atualização em Tecnologia de Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;Sim;R$ 100.000,00;R$ 0,00
23088.014963/2017-20;2018;Primeiro Simpósio de Fisica Teórica GIFT;ALEXIS ROA AGUIRRE;Sim;R$ 13.700,16;R$ 2.370,00
23088.005830/2016-81;2016;Curso Usabilidade e Equipamentos Médicos – Documento técnico contendo procedimentos para projeto de equipamento considerando atributos de usabilidade de produtos para a saúde;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;Sim;R$ 10.000,00;R$ 10.000,00
23088.003994/2016-74;2016;Quanto vale o dinheiro para os jovens? Construção e Consolidação do conhecimento de Educação Financeira em Escolas Públicas de Itajubá/MG;ANDRÉ LUIZ MEDEIROS;Sim;R$ 156.438,72;R$ 156.438,72
23088.006994/2017-15;2017;Eletrônica de Potência Aplicada a Sistemas Elétricos;ÂNGELO JOSÉ JUNQUEIRA RESEK;Sim;R$ 3.500,00;R$ 3.500,00
23088.021680/2016-53;2016;Eletrônica de Potência Aplicada a Sistemas Elétricos;ÂNGELO JOSÉ JUNQUEIRA RESEK;Sim;R$ 3.500,00;R$ 3.500,00
23088.002063/2018-11;2018;Beyond Rocket Desing;ANTONIO AUGUSTO ARAÚJO PINTO DA SILVA;Sim;R$ 10.000,00;R$ 10.000,00
23088.014781/2016-78;2016;"SUPORTE TÉCNICO PARA ELABORAÇÃO DE ANÁLISES ELEMENTOS FINITOS À FMC""";ANTÔNIO CARLOS ANCELOTTI JUNIOR;Sim;R$ 5.000,00;R$ 5.000,00
23088.014782/2016-12;2016;Realização de ensaios de controle de qualidade GE;ANTÔNIO CARLOS ANCELOTTI JUNIOR;Sim;R$ 1.800,00;R$ 1.800,00
23088.013984/2017-28;2017;Participação no curso de curta duração - QPSE - Métidos Computacionais Aplicados e Sistemas Elétricos;BENEDITO ISAÍAS DE LIMA LOPES;Sim;R$ 8.795,66;R$ 8.795,66
23088.020477/2016-40;2016;Curso de Qualificação em Sistemas Elétricos - Estabilidade de Tensão em Sistemas Elétricos de Potência;BENEDITO ISAÍAS DE LIMA LOPES;Sim;R$ 4.550,00;R$ 4.550,00
23088.007920/2016-15;2016;Projeto Fórmula SAE Cheetah Racing UNIFEI;BRUNO SILVA DE SOUSA;Sim;R$ 1.000,00;R$ 1.000,00
23088.014560/2017-81;2017;Participação no curso de Curta duração - QPSE Análise de Sistema de Potência;CLAÚDIO FERREIRA;Sim;R$ 12.995,66;R$ 12.995,66
23088.014375/2017-96;2017;Curso de Curta Duração em Termografia Infravermelha;EDSON DA COSTA BORTONI;Sim;R$ 6.726,60;R$ 6.726,60
23088.024409/2017-51;2017;Participação no curso de curta duração - Instrumentação Insdustrial;EDSON DA COSTA BORTONI;Sim;R$ 10.332,55;R$ 10.322,56
23088.002919/2016-96;2016;Participação em programa de formação e capacitação em inovação de processos de avaliação de investimentos em PPPs: Engenharia Econômica I e II;EDSON DE OLIVEIRA PAMPLONA;Sim;R$ 25.125,28;R$ 25.125,28
23088.009371/2016-13;2016;Curso de Gerenciamento de Tecnologias de Informação em Saúde;EGON LUIZ MULLER JUNIOR;Sim;R$ 0,00;R$ 0,00
23499.001043/2018-91;2018;Projeto de apoio pedagógico ao Colégio Tiradentes Itabira;ÉLCIO FRANKLIN DE ARRUDA;Sim;R$ 51.000,00;R$ 4.800,00
23088.024651/2017-24;2017;Contrato de revisão Técninca com Cessão de Direitos Autorais;ENZO SERAPHIM;Sim;R$ 6.000,00;R$ 9.540,00
 23088.000296/2016-17;2016;Ensaios Elétricos em Chave Seccionadora;ESTÁCIO TAVARES WANDERLEY NETO;Sim;R$ 4.778,68;R$ 4.778,68
23088.000194/2016-00;2016;Ensaios Elétricos em Cabos Isolados;ESTÁCIO TAVARES WANDERLEY NETO;Sim;R$ 71.481,42;R$ 71.481,42
