Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
23088.006374/2018-59;2018;Cultivar-te;ADHIMAR FLÁVIO OLIVEIRA;IFQ;19/03/18;31/12/18;Sim;R$ 9.999,27;
23088.007794/2017-71;2017;Cultivar-te;ADHIMAR FLÁVIO OLIVEIRA;IFQ;01/05/17;31/12/17;Sim;R$ 9.690,00;R$ 6.527,61
23088.006475/2017-49;2017;Projeto Play - Empreendedorismo Social ;ADILSON DA SILVA MELLO ;IEPG;02/03/17;10/12/17;Sim;R$ 0,00;
23088.006947/2018-44;2018;Entre o saber e o fazer da cultura: A formação de Agentes Culturais em Itajubá/MG;ADILSON DA SILVA MELLO ;IEPG;27/03/18;20/12/18;Sim;R$ 0,00;R$ 0,00
23088.005649/2019-18;2019;Desenvolvimento de experimentos sobre os tipos de solos da região do sul de Minas Gerais como instrumento de educação ambiental;ADINELE GOMES GUIMARÃES;IRN;01/04/19;20/12/19;Não;R$ 9.600,00;
23088.012283/2019-33;2019;Estudos técnicos para elaboração do projeto conceitual de uma Escola Praque;ADINELE GOMES GUIMARÃES;IRN;21/06/19;21/02/20;Não;R$ 40.605,00;
23088.013744/2018-12;2018;Pesquisa Aplicada de anomalias em estruturas de concreto armado;ADINELE GOMES GUIMARÃES;IRN;01/06/18;30/08/18;Sim;R$ 8.730,00;R$ 8.730,00
23088.015332/2019-90;2019;Planejamento das ações comunitárias do ciclo 2019/2020 do Núcleo Estratégico Interdisciplinar  em Resiliência Urbana - NEIRU;ADINELE GOMES GUIMARÃES;IRN;12/08/19;12/08/20;Não;R$ 0,00;R$ 0,00
23088.016901/2019-14;2019;Treinamento de MS Project;ADLER DINIZ DE SOUZA;IMC;30/08/19;30/08/19;Não;R$ 0,00;R$ 0,00
23088.006226/2018-34;2018;Curso de Design de Logotipos;ADRIANA PREST MATTEDI;IMC;05/05/18;31/05/18;Sim;R$ 0,00;R$ 0,00
23088.007837/2017-19;2017;O Espaço InterCiências: o Centro de Divulgação Científica da UNFEI;AGENOR PINA DA SILVA;IFQ;20/02/17;10/12/17;Sim;R$ 10.000,00;
23088.018929/2019-96;2019;A Divulgação Científica na prática: utilizando o Girotec como prática extensiva;AGENOR PINA DA SILVA;IFQ;30/09/19;31/12/19;Não;R$ 14.160,00;
23088.011117/2017-58;2017;Estudo de Confiabilidade da SE Tucuruí 1ª Etapa – 550 kV;AIRTON VIOLIN;ISEE;13/03/17;12/06/17;Sim;R$ 27.999,94;R$ 19.779,49
23088.007618/2017-30;2017;Unifei-Sintrópica;ALAN BENDASOLI PAVAN;IFQ;26/04/17;25/04/18;Sim;R$ 0,00;
23088.016597/2018-24;2018;UNIFEI Sintrópica;ALAN BENDASOLI PAVAN;IFQ;30/07/18;15/12/18;Sim;R$ 0,00;R$ 0,00
23088.002274/2019-34;2019;Grupo de Estudos em Educação e Tecnologias - GEETEC;ALESSANDRA RODRIGUES;IFQ;01/03/19;15/12/19;Não;R$ 0,00;R$ 0,00
23088.004664/2019-49;2019;LEDICamp: Letramentos Digitais no Campus;ALESSANDRA RODRIGUES;IFQ;06/03/19;30/12/19;Não;R$ 0,00;R$ 0,00
23088.004959/2018-34;2018;LEDICamp: Letramento Digitais no Campus;ALESSANDRA RODRIGUES;IFQ;21/03/18;13/12/18;Sim;R$ 8.000,00;
23088.015551/2017-15;2018;Revista Aman-Ti-Kyr: Estudos Interdisciplinares em Educação;ALESSANDRA RODRIGUES;IFQ;21/08/17;21/08/18;Sim;R$ 0,00;R$ 0,00
23088.017271/2019-03;2019;Revista Aman-Ti-Kyr: Estudos Interdisciplinares em Educação (ISSN 2526-124X)*;ALESSANDRA RODRIGUES;IFQ;26/08/19;26/08/20;Não;R$ 0,00;R$ 0,00
23088.018759/2018-69;2018;Revista Aman-Ti-Kir: Estudos Interdisciplinares em Educação;ALESSANDRA RODRIGUES;IFQ;24/08/18;24/08/19;Sim;R$ 0,00;R$ 0,00
23088.004965/2016-20;2016;III Seminário de Recursos Naturais;ALESSANDRO LUVIZON BARGAMO;IRN;07/03/16;08/09/16;Não;R$ 31.352,00;
