Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
 23088.000296/2016-17,2016,ENSAIOS ELETRICOS EM CHAVE SECCIONADORA,ESTACIO TAVARES WANDERLEY NETO,ISEE,4/1/2016,30/6/2016,SIM, R$ -   ," R$ 4.778,68 "
23088.000194/2016-00,2016,ENSAIOS ELETRICOS EM CABOS ISOLADOS,ESTACIO TAVARES WANDERLEY NETO,ISEE,1/12/2015,30/5/2016,SIM, R$ -   ," R$ 71.481,42 "
23088.000245/2016-95,2016,ENSAIOS ELETRICOS EM BOBINAS,ESTACIO TAVARES WANDERLEY NETO,ISEE,4/1/2016,31/06/16,SIM, R$ -   ," R$ 17.280,17 "
23088.000258/2016-64,2016,ENSAIOS ELETRICOS EM CABOS ISOLADOS,ESTACIO TAVARES WANDERLEY NETO,ISEE,4/1/2016,30/6/2016,SIM, R$ -   ," R$ 118.510,37 "
23088.000262/2016-22,2016,ENSAIOS ELETRICOS EM CAPACITORES,ESTACIO TAVARES WANDERLEY NETO,ISEE,4/1/2016,31/06/16,SIM, R$ -   ," R$ 1.394,32 "
23088.000303/2016-81,2016,ENSAIOS ELETRICOS EM EQUIPAMENTOS DE BAIXA TENSAO,ESTACIO TAVARES WANDERLEY NETO,ISEE,4/1/2016,31/06/16,SIM, R$ -   , R$ -   
23088.000768/2016-31,2016,CERTIFICACAO E ENSAIOS DE PRODUTOS DE TECNOLOGIA DA INFORMACAO,JOSE CARLOS GRILLO RODRIGUES,ISEE,1/1/2016,31/8/2016,NÃO," R$ 143.554,00 ",
23088.000776/2016-88,2016,DIAGNOSTICO DAS NASCENTES DA BACIA HIDROGRAFICA DO CORREGO DO VARGEDO – SANTA RITA DO SAPUCAI /MG,ANA PAULA MONI SILVA,IRN,1/2/2016,18/3/2016,SIM, R$ -   , R$ -   
23088.000864/2016-80,2016,PROJETO CHEETAH E-RACING DE FORMULA SAE ELETRICO,CARLOS HENRIQUE VALERIO DE MORAES,IESTI,5/2/2016,5/2/2017,SIM, R$ -   , R$ -   
23088.000907/2016-27,2016,"POLITICA ENERGATICA, GERACAO E USO DE ENERGIA",ROGERIO JOSE DA SILVA,IEM,22/2/2016,4/7/2016,SIM, R$ -   , R$ -   
23088.001206/2016-13,2016,ECO-VEICULO,JOSE HAMILTON CHAVES GORGULHO JUNIOR,IEPG,1/1/2016,31/12/2016,SIM, R$ -   , R$ -   
