Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
CR025-2024,Práticas educativas de Inteligência Artificial na Educação Básica,CLAUDIA ELIANE DA MATTA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,05/08/24,02/09/24,SIM,"R$0,00",
CR039-2024,"Participação em curso de especialização na UFMG  Curso de Especialização - Fontes de Energia Renováveis - Geração, Operação e Integração ",CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/24,31/12/24,PENDENTE,"R$6.000,00",
CR040-2024,Macros e VBA para Planilhas Eletrônicas (Excel 2) - Turma 2024.2,SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/08/24,13/12/24,PENDENTE,"R$0,00",
CR042-2024,Pesquisa Operacional I - continuação,JOSÉ ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,22/07/24,31/12/24,SIM,"R$0,00",
CR043-2024,Pesquisa Operacional II,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/08/24,31/12/24,PENDENTE,"R$25.023,50",
CR044-2024,Participação em curso de Extensão em Engenharia Econômica 1,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/08/24,10/09/24,SIM,"R$11.000,00","R$11.000,00"
CR045-2024,Participação em curso de Engenharia Econômica 1,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,26/08/24,20/12/24,PENDENTE,"R$7.370,00",
CR046-2024,"Curso de Formação de Professores de Ciências da Educação Básica: Luzes, Cores e Radiações.",FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,16/08/24,16/08/24,SIM,"R$0,00",
CR047-2024,Uso da notação BPMN para modelagem de processos,PATRICIA KELLI SILVA DE OLIVEIRA,PRÓ-REITORIA DE EXTENSÃO,16/08/24,16/08/24,SIM,"R$0,00",
CR048-2024,PSI Academy,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,02/09/24,13/12/24,PENDENTE,"R$0,00",
CR049-2024,Medidas de Proteção para o DesemPENDENTEho Seguro nos Projetos de Competição Tecnológica de Itabira,PATRICIA KELLI SILVA DE OLIVEIRA,DIRETORIA DE EXTENSÃO TECNOLÓGICA E EMPRESARIAL,14/08/24,22/08/24,SIM,"R$0,00",
CR050-2024,Análise do Ciclo de Vida e RenovaCalc,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,16/08/24,13/09/24,SIM,"R$5.623,05","R$5.623,05"
CR051-2024,Introdução a banco de dados,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,19/08/24,31/10/24,PENDENTE,,
CR052-2024,Programa Embaixadores SEL,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,02/09/24,06/09/24,SIM,"R$0,00",
CR053-2024,Curso de Formação de Professores de Ciências da Educação Básica: Circuitos Elétricos - Parte 1.,FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,30/08/24,30/08/24,SIM,"R$0,00",
CR054-2024,Microscopia Eletrônica de Varredura: Fundamentos teóricos e Análise de imagem,GUSTAVO HENRIQUE DE MAGALHAES GOMES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,12/08/24,18/10/24,SIM,"R$0,00",
CR055-2024,"POLÍTICA ENERGÉTICA, GERAÇÃO E USO DE ENERGIA - MÓDULO I - T2",ROGERIO JOSE DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,12/09/24,06/12/24,SIM,"R$0,00",
CR056-2024,INTRODUÇÃO À ANÁLISE ESTRUTURAL COM ANSYS,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,25/09/24,27/11/24,SIM,"R$0,00",
CR057-2024,CURSO BÁSICO DE PYTHON PARA ENGENHARIA,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,25/09/24,17/11/24,SIM,"R$0,00",
CR058-2024,Curso de Formação de Professores de Ciências da Educação Básica: Circuitos Elétricos - Parte 2.,FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,06/09/24,06/09/24,SIM,"R$0,00",
CR059-2024,Introdução à operação de torno mecânico,CARLOS HENRIQUE PEREIRA MELLO,DIRETORIA DE EXTENSÃO TECNOLÓGICA E EMPRESARIAL,09/09/24,27/09/24,SIM,"R$0,00",
CR060-2024,Empreendedorismo nas Escolas (Turma 01),TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,28/08/24,29/11/24,PENDENTE,"R$0,00",
CR061-2024,Empreendedorismo nas Escolas (Turma 02),TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,28/08/24,29/11/24,PENDENTE,"R$0,00",
CR062-2024,Empreendedorismo nas Escolas (Turma 03),TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,28/08/24,29/11/24,PENDENTE,"R$0,00",
CR063-2024,Eletricidade na Indústria,MAURICIO CAMPOS PASSARO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,16/09/24,31/12/24,PENDENTE,"R$0,00",
CR065-2024,Curso introdutório de programação em Python,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,09/09/24,27/09/24,SIM,"R$0,00",
CR066-2024,"Oficina botânica de coleta, herborização e herbário",HISAIAS DE SOUZA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,10/09/24,19/09/24,SIM,"R$0,00",
CR067-2024,3o. Curso de Método de Rietveld com Nimloth: Introdução e prática de refinamento,GUILHERME OLIVEIRA SIQUEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,09/09/24,01/12/24,PENDENTE,"R$0,00",
CR068-2024,SEMINÁRIO DE INCLUSÃO E ASSUNTOS ESTUDANTIS DA UNIFEI 2024,JOAO RICARDO NEVES DA SILVA,DIRETORIA DE ASSUNTOS ESTUDANTIS,11/11/24,13/11/24,PENDENTE,"R$3.000,00",
CR069-2024,Curso de Excel Básico ao Intermediário,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,20/09/24,01/10/24,SIM,"R$0,00",
