Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
CR044-2023,2023,MÉTODO DE RIETVELD COM NIMLOTH: INTRODUCÃO E PRÁTICA DE REFINAMENTO,GUILHERME OLIVEIRA SIQUEIRA,IEI,17/07/2023,15/10/2023,SIM,,,
EV058-2023,2023,MESA REDONDA - NOCÕES DE EDUCACÃO FINANCEIRA,DAILA DOS PASSOS VITORINO,DEI,28/06/2023,09/08/2023,NÃO,,,
PJ179-2023,2023,RESPOSTA DOS CICLONES DO HEMISFÉRIO SUL: RESPOSTA DA CLIMATOLOGIA AO GERENCIAMENTO DA RADIACÃO SOLAR COM AEROSOL ESTRATOSFÉRICO,MICHELLE SIMOES REBOITA,IRN,01/08/2023,31/12/2023,NÃO,R$ 39.411,44,
EV059-2023,2023,INTERNATIONAL EXPERIENCE DAY,FLAVIA FERNANDA CARVALHO DA MOTTA,PROEX,01/07/2023,06/10/2023,SIM,,,
EV060-2023,2023,"AGOSTO LILÁS - MÊS DE PREVENCÃO À VIOLÊNCIA CONTRA A MULHER - PALESTRA ""RELACIONAMENTOS ABUSIVOS: COMO IDENTIFICAR E AGIR?""",ANDREIA TEIXEIRA,PRG,17/08/2023,18/08/2023,SIM,,,
EV061-2023,2023,CONVIVÊNCIA E ESPIRITUALIDADE: ATIVIDADES DA ABU NO CAMPUS ITABIRA,CLEIDE BEATRIZ GOMES DOS REIS,DCI,11/08/2023,31/12/2023,NÃO,,,
EV062-2023,2023,VIII SEMANA ACADÊMICA DA QUÍMICA - SEMQ,JULIANA FEDOCE LOPES,IFQ,16/08/2023,16/09/2023,SIM,,,
EV063-2023,2023,VIAGEM DA EQUIPE FALCON-6 ROCKET DESIGN PARA PARTICIPAR DA COMPETICÃO LATIN AMERICAN SPACE CHALLENGE (LASC) - 2023 EDITION EM TATUÍ-SP,CLAUDIO ERNANI MARTINS OLIVEIRA,IEI,22/08/2023,28/08/2023,SIM,,,
EV064-2023,2023,A IMPORTÂNCIA DAS NORMAS INTERNACIONAIS PARA O DESENVOLVIMENTO DA SOCIEDADE,LUIZ FELIPE PUGLIESE,ICT,18/08/2023,04/09/2023,SIM,,,
EV065-2023,2023,VISITA Á UNIFEI FILHOS DE FUNCIONÁRIOS DA CENIBRA,GLAUCIO MARCELINO MARQUES,ICPA,18/08/2023,18/08/2023,SIM,,,
