Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
CR001-2024,"Fontes de Energias Renováveis - Geração, Operação e Integração",CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$6.000,00",
CR002-2024,Meninas da Mantiqueira na Ciência,PALOMA ALINNE ALVES RODRIGUES,INSTITUTO DE FÍSICA E QUÍMICA,04/01/24,31/01/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR003-2024,GESTÃO DE RESÍDUOS INDUSTRIAIS,ROGERIO JOSE DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,01/02/24,08/03/24,SIM,"R$0,00",
CR004-2024,"POLÍTICA ENERGÉTICA, GERAÇÃO E USO DE ENERGIA - MÓDULO II",ROGERIO JOSE DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,14/02/24,10/05/24,SIM,"R$0,00",
CR005-2024,Curso Básico e Intermediário para Planilhas Eletrônicas (Excel 1) - Turma 2024.1,SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,16/02/24,31/07/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR007-2024,Instalações Elétricas,CREDSON DE SALLES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,15/03/24,15/03/24,SIM,"R$26.706,68","R$26.706,68"
CR008-2024,Física Gamma (PET Física),FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/03/24,17/07/24,PENDENTE,"R$0,00",
CR009-2024,Método de Rietveld com Nimloth: Introdução e prática de refinamento,GUILHERME OLIVEIRA SIQUEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,08/03/24,31/05/24,PENDENTE,"R$0,00",
CR010-2024,Moodle Básico para alunos,ANA PAULA DE PAIVA PEREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR011-2024,Moodle Básico para Professores,ANA PAULA DE PAIVA PEREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR012-2024,Oficina de Trabalho: Empreendedorismo e Sustentabilidade nas Associações de Apicultura e Meliponicultura no estado de  Santa Catarina-SC,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,11/03/24,22/07/24,PENDENTE,"R$4.800,00",
CR013-2024,Pesquisa Operacional I,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/03/24,20/06/24,PENDENTE,"R$28.435,80",
CR014-2024,Participação na Mostra Brasileira de Foguetes (MOBFOG): uma parceria entre a Falcon-6 Rocket Design e o Colégio Municipal Professora Didi Andrade,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,20/04/24,SIM,"R$0,00",
CR015-2024,PROJETO FORMAÇÃO DE LIDERANÇA DISCENTE,JOAO RICARDO NEVES DA SILVA,DIRETORIA DE ASSUNTOS ESTUDANTIS,22/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR016-2024,Workshop sobre criação de malha utilizando o software meshing da ANSYS com as  equipes Falcon-6 e L.O.T.S,FABIO SANTOS NASCIMENTO,INSTITUTO DE ENGENHARIAS INTEGRADAS,22/04/24,06/05/24,SIM,"R$0,00",
