Campus: [Itajubá],Campus: [Itabira],Modalidade do Programa de Bolsa:,Vigência,Órgão de financiamento,Nome completo do orientador,E-mail do orientador,id_discente,Curso,Instituto,Título do projeto registrado,Área do conhecimento do projeto (CNPq),Data de implementação,Observação
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Adinele Gomes Guimarães,,10595,Engenharia Hidrica,,ANÁLISE DA PERMEABILIDADE DE SOLOS ARGILOSOS COM ADIÇÃO DE FIBRAS DE CANA-DE-AÇÚCAR ,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Gilbert Silva,,5966,Engenharia de Materiais,,Produção e desenvolvimento do aço inoxidável duplex UNS S31803 nano estruturado obtido por moagem de alta energia com adição de carbetos,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Jesus Antonio García Sánchez,,17215,Engenharia Mecânica Aeronáutica,,Simulação do Contínuo Utilizando Estruturas Tipo Treliças Via Método dos Elementos Finitos.,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Sandro José de Andrade,,9684,Química Bacharelado,,Determinação e remoção de contaminantes emergentes em mattrizes aquosas,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Flavio Soares Silva,,5790,Engenharia de Materiais ,,Determinação de hidrocarbonetos policíclicos aromáticos em matrizes ambientais,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Daniela Sachs,,22941,Química Bacharelado,,AVALIAÇÃO DA ATIVIDADE ANTIINFLAMATÓRIA DE FÁRMACOS ASSOCIADOS A POLÍMEROS BIODEGRADÁVEIS FUNCIONALIZADOS COM LIGANTE DA SELECTINA-E EM MODELO DE ARTRITE INDUZIDA POR ANTÍGENO,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Roberto Akira Yamachita,,5154,Engenharia Elétrica,,Análise do impacto da geração de energia fotovoltaica conectada à rede elétrica considerando uma empresa pública municipal,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Janaina Roberta dos Santos,,19605,Ciências Biológicas Licenciatura,,A FORMAÇÃO DE PROFESSORES E  A TEMÁTICA AMBIENTAL:  ATUAÇÃO DOCENTE NAS  DISCIPLINAS DE CIÊNCIAS  NATURAIS E BIOLOGIA,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Hisaias de Souza Almeida,,8561,Ciências Biológicas,,Permanência de Handroanthus  chrysotrichus (Mart. ex A.DC.)  Mattos no banco de sementes em  floresta estacional ,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Antonio Carlos Zambroni de Souza,,16231,Engenharia Elétrica,,Estudo de Estabilidade de Tensão considerando novos Cenários Operativos,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Hugo Perazzini,,18814,Engenharia Química,,Secagem intermitente de fertilizante em leito fixo: estudos experimentais visando novas tecnologias,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Thiago Vaz da Costa,,5174,Engenharia Química,,Desenvolvimento e Análise de Algoritmos para Tratamento de Falhas no Controle de Processos Químicos,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Alexandre Carlos Brandão Ramos,,19542,Ciência da Computação,,Programa Santos Dumont Participação da UNIFEI na Micro Air Vehicle Competition - IMAV,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Josiane Palma Lima,,11045,Engenharia Civil,,Estudos de Mobilidade e Gestão Urbana por meio de Multiplos Critérios com vista ao Desenvolvimento Sustentável,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Paloma Alinne Alves Rodrigues Ruas,,8028,Matemática Licenciatura ,,ESTUDO SOBRE A FORMAÇÃO INICIAL E CONTINUADA DE PROFESSORES DE CIÊNCIAS PARA UMA PRÁTICA PEDAGÓGICA INCLUSIVA,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Maisa Tonon Bitti Perazzini,,10201,Engenharia Química,,Secagem de Resíduos Sólidos Orgânicos,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Karina Arruda Almeida,,4403,Engenharia Quimica,,Influência do Método de Síntese nas Propriedades de Catalisadores de Cu-Pt Suportados em Céria para Reação de Preferencial de CO,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Rafael de Carvalho Miranda,,16403,Engenharia da Computação,,Utilização de métodos de metamodelagem para resolução de problemas complexos em otimização via simulação,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Felipe de Souza Eloy,,20620,Engenharia Civil,,Materiais e Processos Aeronáuticos,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Christian Jeremi Coronado Rodriguez,,14143,Engenharia de Energia,,Dimensionamento de sistemas híbridos eólico-fotovoltáicos. Análise técnica e econômica,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Mariana Feiteiro Cavalari,,7127,Licenciatura em Matemática,,A História da Matemática na Formação de Professores de Matemáticas nas Universidades Federais Brasileiras,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Rogério José da Silva,,6987,Engenharia de Materiais,,Monitoramento e Diagnóstico de Centrais Nucleares com Reatores PWR com a Utilização da Ferramenta de Análise Exergética dos Sistemas de Operação.,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,José Carlos Escobar Palacio,,20567,Engenharia Hídrica,,Avaliação Técnico, Econômica e de Sustentabilidade de Diferentes Tecnologias Avançadas de Conversão,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Ricardo Iván Medina Bascur,,7470,Bacharelado em Física,,Uso de transséries resurgentes em Mecânica Quântica e Teoria de Cordas,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Angelo José Junkeira Rezek,,14219,Engenharia Elétrica,,CHOPPER TRANSISTORIZADO PARA ACIONAMENTO DE CARRINHO TRANSPORTADOR, UTILIZANDO MOTOR DE CORRENTE CONTÍNUA DE ÍMÃ PERMANENTE,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Rodrigo Maximiano Antunes de Almeida,,13882,Engenharia de Computação,,Desenvolvimento de plataforma embarcada para ensino,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,Ana Lúcia Fernandes de Lima e Silva,,9980,Engenharia Mecânica,,Desenvolvimento de Técnicas para Análise Experimental e Numérica em Transferência de Calor,,,
Sim,Não,PIBIC,03/2017 a 02/2018,FAPEMIG,VANESSA SILVEIRA BARRETO CARVALHO,,15490,ENGENHARIA AMBIENTAL,,Tendências e Evolução da Qualidade do Ar na Região Metropolitana de Belo Horizonte: Perspectivas para o atendimento dos valores recomendados pela organização mundial de saúde,,,
