                            Grupos de Pesquisa UNIFEI,,,,
Nome do Grupo,Instituto,Nome do Líder,Área Predominante,
GPub: Grupo de pesquisa em tecnologia aplicada a gestão e execução de processos públicos,IMC,Adler Diniz de Souza,Ciências Exatas e da Terra; Ciência da Computação,
Ensino e Divulgação Científica em Ciências,IFQ,Agenor Pina da Silva,Educação,
Grupo de Estudo e Pesquisa em Machine e Learning - GREMLING,IFQ,Alan Bendasoli Pavan,Ciências Exatas e da Terra; Física,
"VisCAp - Grupo de Visão, Sistemas de Computação e Aplicações",IMC,Alexandre Carlos Brandao Ramos,Engenharias; Engenharia Mecânica,
Grupo de Investigações em Física Teórica - GIFT,IFQ,Alexis Roa Aguirre,Física,
DENARIUS: NÚCLEO DE PESQUISA E DESENVOLVIMENTO EM EDUCAÇÃO FINANCEIRA,IEPG,André Luiz Medeiros,Administração,
Grupo de Estudos Transdisciplinares em Administração - GETRA,IEPG,Andréa Aparecida da Costa Mineiro,Administração,
aPTIs - SG2 : Advanced Power Technologies and  Innovations in Systems and Smart Grids Group,ISEE,Antonio Carlos Zambroni de Souza,Engenharia Elétrica,
Grupo de Pesquisa Núcleo de Tecnologia em Compósitos - NTC,IEM,Antonio Carlos Ancelotti Junior,Engenharia de Materiais e Metalúrgica,Ensaios mecânicos em compósitos
Grupo de Estudos em Reologia,IFQ,Antonio Jose Faria Bombard,Física,
"Grupo de Estudos em Ciências Atmosféricas, Oceânicas e Ambientais – CAOA",IRN,Arcilan Trevenzoli Assireu,Ciências Exatas e da Terra; Geociências,
"Grupo de Pesquisa em Desastres Naturais: Previsão, Monitoramento, Modelagem e Mitigação - GP3M",IRN,Benedito Cláudio da Silva,Ciências Exatas e da Terra; Geociências,
"GEPEQ - Grupo de Ensino, Pesquisa e Extensão em Qualidade e Produto",IEPG,Carlos Henrique Pereira Mello,Engenharia de Produção,
Grupo de Estudos em Tecnologias de Conversão de Energia - GETEC,IEM,Christian Jeremi Rodriguez Coronado,Engenharia Mecânica,
Grupo de Pesquisa Aqua Tropicus,IRN,Daniel Clemente Vieira Rego da Silva,Ciências Biológicas; Ecologia,
"Grupo de Estudos e Pesquisas Interdisciplinares em Tecnologias, Educação em Ciências e Inclusão ",IFQ,Denise Pereira de Alcantara Ferraz ,Educação ,
Grupo de Pesquisas em Engenharia de Sistemas e de Computação - GPESC ,IESTI,Edmilson Marmo Moreira,Ciência da Computação ,
Grupo de Fabricação,IEM,Edmilson Otoni Corrêa,Engenharia Mecânica,
Grupo de Estudos Energéticos - GEE,ISEE,Eduardo Crestana Guardia,Engenharia Elétrica,
Núcleo de Excelência em Geração Termelétrica e Distribuída - NEST,IEM,Electo Eduardo Silva Lora,Engenharias; Engenharia Mecânica,
GRUPO DE PESQUISA DE DINÂMICAS EMPREENDEDORAS,IEPG,Elzo Alves Aranha,Engenharia de Produção,
Grupo de Pesquisa em Eletrônica de Potência e Aplicações - GPEPA,IESTI,Enio Roberto Ribeiro,Engenharias; Engenharia Elétrica,
Grupo de Alta Tensão,ISEE,Estácio Tavares Wanderley Neto,Engenharia Elétrica,
NUMMARH-Núcleo de Modelagem e Simulação em Meio Ambiente e Recursos e Sistemas Hídricos,IRN,Fernando das Graças Braga da Silva,Engenharias; Engenharia Sanitária,
"Grupo de Pesquisa - VISUALIZANDO, INVESTIGANDO e DISCUTINDO AMBIENTES de APRENDIZAGEM em MATEMÁTICA VIDAA-M

",IMC,Flavia Sueli Fabiani Marcatto,Ciências Humanas; Educação,
GRUPO DE DESENVOLVIMENTO E CARACTERIZAÇÃO DE MATERIAIS E SIMULAÇÃO NUMÉRICA,IEM,Geovani Rodrigues,Engenharia de Materiais e Metalúrgica,
GEMEC: Grupo de Estudos em Mecânica Experimental e Computacional,IEM,Guilherme Ferreira Gomes,Engenharia Mecânica,
Astrofísica,IFQ,Hektor Sthenos Alves Monteiro,Astronomia,
"Teoria, experimentos e modelagem de fenômenos fora do equilíbrio",IEM,Helcio Francisco Villa Nova,Engenharia Mecânica,
Núcleo de Estudos em Sistemas Particulados,IRN,Hugo Perazzini,Engenharias; Engenharia Química,
Análise de equações diferenciais parciais não-lineares ,IMC,Jacson Simsen,Ciências Exatas e da Terra; Matemática,
TIES - Tecnologias Integradas e Engenharia Sustentável,IEM,Jesús Antonio García Sánchez,Engenharia Mecânica,
NOMATI - NÚCLEO DE OTIMIZAÇÃO DA MANUFATURA E DE TECNOLOGIA DA INOVAÇÃO,IEPG,João Roberto Ferreira,Engenharia de Produção,
NEAAD - Núcleo de Estudos Avançados para Auxílio à Decisão,IEPG,José Arnaldo Barra Montevechi,Engenharia de Produção,
Engenharia de Bioprocessos,IRN,Jose Renato Guimaraes,Engenharias; Engenharia Química,
Educação em Ciências e Educação Ambiental,IFQ,Luciano Fernandes Silva,"Ciências Humanas,Educação ",
Teoria Qualitativa das Equações Diferenciais,IMC,Luis Fernando de Osório Mello,Ciências Exatas e da Terra; Matemática,
"Expossoma, Meio Ambiente, Informação e Saúde (E+) ",IRN,Marcelo de Paula Corrêa,Ciências Ambientais,
Grupo de Investigação em Física do estado Sólido (GIFES) ,IFQ,Marcelos Lima Peres,Física ,
Grupo de Materiais e Tecnologia,IEM,Maria Virginia Gelfuso,Engenharia de Materiais e Metalúrgica ,
Grupo de Pesquisa em Práticas Formativas e Educativas em Ciências e Matemática,IMC,Mariana Feiteiro Cavalari Silva,Ciências Humanas; Educação,
Grupo de Síntese Orgânica e Química Medicinal (GSOQM),IFQ,Maurício Frota Saraiva,Química,
Síntese de Heterociclos e Avaliações Biológicas (SHAB),IFQ,Maurício Silva dos Santos,Ciências Exatas e da Terra; Química,
"Núcleo de Controle, Otimização e Modelagem de Processos Químicos - COMPEQI",IRN,Maximilian Joachim Hodapp,Engenharias; Engenharia Química,
Grupo de Pesquisa e Extensão em Políticas Socioambientais - GPEPSA,IRN,Michelle Simoes Reboita,Ciências Ambientais,
Grupo de Pesquisa Tecnologias e Cultura Digital na Educação em Ciências (TeCDEC),IFQ,Mikael Frank Rezende Junior ,"Ciências Humanas,Educação ",
Grupo de Química Ambiental da UNIFEI - QUIAFEI,IFQ,Milady Renata Apolinário da Silva,Química,
Cibersegurança e Sistemas Críticos,IESTI,Otávio de Souza Martins Gomes,Engenharias; Engenharia Elétrica,
"Núcleo de Estudos em Formação Docente, Tecnologias e Inclusão (NEFTI)",IFQ,Paloma Alinne Alves Rodrigues,Educação,
"Núcleo OFF - Cultura, Educação e Linguagens",IFQ,Paulo Cezar Nunes Junior,Sociologia,
Grupo de Estudos da Qualidade da Energia Elétrica - GQEE,ISEE,Paulo Márcio da Silveira,Engenharias; Engenharia Elétrica,
GRDev - Game Research and Development,IMC,Phyllipe de Souza Lima Francisco,Ciências Exatas e da Terra; Ciência da Computação,
Grupo de Fluidodinämica e Máquinas de Fluxo - GFMF,IEM,Ramiro Gustavo Ramirez Camacho,Engenharia Mecânica,
GES - Grupo de Estudos em Saneamento,IRN,Regina Mambeli Barros,Engenharias; Engenharia Civil,
"LogTranS - Grupo de Pesquisa em Logística, Transportes e Sustentabilidade",IEPG,Renato da Silva Lima,Engenharia de Transportes,
Materiais opto-eletrônicos ,IFQ,Rero Marques Rubinger,Física,
Grupo de Engenharia de Sistemas - GESis,ISEE,Robson Celso Pires,Engenharias; Engenharia Elétrica,
Solos e Meio Ambiente - SOMA,IRN,Rogério Melloni,Agronomia,
Grupo de Estudo e Pesquisa em Educação Interdisciplinar - GEPEI,IFQ,Rogério Rodrigues,Educação,
Grupo de Eletrônica de Potência e Controle Industrial (GEPCI) ,IESTI,Rondineli Rodrigues Pereira,Engenharias; Engenharia Elétrica,
Grupo de Pesquisa em Transferência de Calor,IEM,Sandro Metrevelle Marcondes de Lima e Silva,Engenharia Mecânica,
Grupo de Microeletrônica,IESTI,Tales Cleber Pimenta,Engenharia Elétrica,
Estudo em Compósitos Cimentícios Especiais e Mecânica da Fratura Não Linear,IRN,Valquíria Claret dos Santos,Engenharias; Engenharia Civil,
Research group on Fundamental Interactions and Quantum Systems - FIQS,IFQ,Vitorio Alberto De Lorenci,Física,
"Núcleo Travessia - Núcleo de Pesquisa, Extensão e Apoio à Agricultura Familiar e Desenvolvimento Rural",IEPG,Viviane Guimarães Pereira,Ciência Política,
Aprendizagem Ativa para a Formação Profissional,ICPA,Renata dos Santos,Ciências Humanas; Educação,
Controle e Conversão de Energia Elétrica,ICT,Clodualdo Venicio de Sousa,Engenharias; Engenharia Elétrica,
"Desenvolvimento, Sustentabilidade, Educação e Cultura",IEI,Helena Mendonça Faria,Ciências Sociais Aplicadas; Planejamento Urbano e Regional,
Grupo de Estudos e Pesquisas em Engenharia de Transportes e Mobilidade,IEI,Sérgio Pacífico Soncim,Engenharias; Engenharia de Transportes,
"Grupo de Estudos em Inovações em Geração Distribuída, Gestão Energética e Fabricação",IEI,Ruben Alexis Miranda Carrillo,Engenharias; Engenharia Mecânica,
Grupo de Estudos em Qualidade e Produtividade,IEI,Emerson José de Paiva,"Engenharias, Engenharia de Produção",
Grupo de Estudos em Recursos Hídricos,ICPA,Roberto Cézar de Almeida Monte-Mor,"Engenharias, Engenharia Sanitária",
Grupo de Estudos em Saúde e Segurança no Trabalho,ICPA,Geraldo Fabiano de Souza Moraes,Engenharias; Engenharia de Produção,
Grupo de Pesquisa de Materiais para Indústria da Construção Civil e Mecânica,IEI,Carlos Augusto de Souza Oliveira,Engenharias; Engenharia de Materiais e Metalúrgica,
"Grupo de pesquisa em Computação, Eletrônica e Telecomunicações",ICT,Diego Camilo Tami López,Engenharias; Engenharia Elétrica,
Grupo de Pesquisa em Engenharia de Estruturas,IEI,Washington Batista Vieira,Engenharias; Engenharia Civil,
Grupo de Pesquisa em Materiais e Nanociência,IEI,Fabrício Vieira de Andrade,Engenharias; Engenharia de Materiais e Metalúrgica,
