Nome do Grupo,Instituto,Nome do Líder,Área Predominante,Linhas de Pesquisa
GPub: Grupo de pesquisa em tecnologia aplicada a gestão e execução de processos públicos,IMC,Adler Diniz de Souza,Ciências Exatas e da Terra; Ciência da Computação,"Análise inteligente de dados,Geotecnologias para gestão de políticas governamentais,Gerência de Portfólio Governamental,Gestão de Dados Públicos,Governança de Tecnologia da Informação,Participação Eletrônica,Pesquisa Operacional / Otimização Combinatória"
Ensino e Divulgação Científica em Ciências,IFQ,Agenor Pina da Silva,Educação,"Divulgação Científica,Ensino de Física e Astronomia,Experimentação no Ensino de Ciências,Experimentação remota no ensino de Ciências,Metodologias ativas no Ensino de Ciências"
Grupo de Estudo e Pesquisa em Machine e Learning - GREMLING,IFQ,Alan Bendasoli Pavan,Ciências Exatas e da Terra; Física,"Aplicações de técnicas de Aprendizado de Máquina em Engenharia e Matemática,Aplicações de técnicas de Aprendizado de Máquina em Física e Astrofísica,Aplicações de técnicas de Aprendizado de Máquina em Saúde,Aplicações de visão computacional,Classificação e agrupamento de dados,Desenvolvimento e aplicação de algoritmos de otimização"
"VisCAp - Grupo de Visão, Sistemas de Computação e Aplicações",IMC,Alexandre Carlos Brandao Ramos,Engenharias; Engenharia Mecânica,"Computação Gráfica,Inteligência Artificial,Interface Homem Computador,Processamento de Imagens,Treinamento Baseado em Computador,Veículos Aéreos não Tripulados,Visão Robótica"
Grupo de Investigações em Física Teórica - GIFT,IFQ,Alexis Roa Aguirre,Física,"Gravitação e Cosmologia,Teoria Classica de Campos,Teoria de campos sob condições de contorno,Teoria de Cordas,Teoria quântica de campos,Teorias com Violação das Simetrias de Lorentz e CPT e Aplicações,Teorias de Campo Integráveis e Sólitons"
DENARIUS: NÚCLEO DE PESQUISA E DESENVOLVIMENTO EM EDUCAÇÃO FINANCEIRA,IEPG,André Luiz Medeiros,Administração,"ECONOMIA,EDUCAÇÃO,FINANÇAS,PROJETOS ESPECIAIS"
Grupo de Estudos Transdisciplinares em Administração - GETRA,IEPG,Andréa Aparecida da Costa Mineiro,Administração,"Ensino e Pesquisa em Administração,Estudos Organizacionais, Gestão, Inovação, Tecnologias e Empreendedorismo"
aPTIs - SG2 : Advanced Power Technologies and  Innovations in Systems and Smart Grids Group,ISEE,Antonio Carlos Zambroni de Souza,Engenharia Elétrica,INERGE - INCT ENERGIA ELÉTRICA
Grupo de Estudos em Reologia,IFQ,Antonio Jose Faria Bombard,Física,"Eletro-Reologia,Magneto-Reologia,Reologia de Cimento e Argamassa"
"Grupo de Estudos em Ciências Atmosféricas, Oceânicas e Ambientais – CAOA",IRN,Arcilan Trevenzoli Assireu,Ciências Exatas e da Terra; Geociências,"Agrometeorologia,Circulação oceânica e transporte de traçadores em ambientes aquáticos,Climatologia,Dinâmica da zona costeira,Dispersão de poluentes na atmosfera,Energias Renováveis,Fundeios, hidrografia e medições ambientais,Interação atmosfera-sistemas aquáticos,Sensoriamento Remoto da Atmosfera,Sensoriamento Remoto de sistemas aquáticos,Modelagem Atmosférica,Modelagem climática e outras."
Grupo de Pesquisas em Engenharia de Sistemas e de Computação - GPESC ,IESTI,Bruno Tardiole Kuehne,Ciência da Computação ,"Aprendizagem de Máquina (Machine Learning),Software Básico (Redes de Computadores, Sistemas Distribuídos e Embarcados, Sistemas Operacionais)"
