Código,Data Início,Data Fim,TÍTULO DO PROJETO,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador
642,1/12/2017,6/5/2024,Radiação de corpo negro escalar na presença de fronteiras,FAPEMIG,Edisom de Souza Moreira Júnior,IMC
645,1/12/2017,6/5/2024,"Geometria de curvas planas ,sistemas hamiltonianos e sistemas descontínuos",FAPEMIG,Fábio Scalco Dias,IMC
646,1/4/2018,6/5/2025,Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais,FAPEMIG,Fabrina Bolzan Martins,IRN
649,1/2/2018,20/5/2025,Efeito de biomoléculas com propriedades redutoras na degradação de corantes e de efluente têxtil por processos Fenton,FAPEMIG,André Aguiar Mendes,IRN
650,1/12/2017,18/1/2025,Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário,FAPEMIG,Osvaldo José Venturini,IEM
652,1/12/2017,11/5/2025,"Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy",FAPEMIG,Patricia da Silva Lopes Alexandrino,IEM
654,1/1/2018,6/5/2025,Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas,FAPEMIG,Danilo Henrique Spadoti,IESTI
729,1/12/2018,17/5/2024,Sistema de baixo custo e alto rendimento para inspeção aérea e previsão de desastres,FAPEMIG  ,Alexandre Carlos Brandão Ramos,IMC
777,18/12/2018,17/5/2024,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ,FAPEMIG,MARCELO DE PAULA CORREA,IRN 
779,1/11/2018,18/6/2024,Estudo de configurações centrais e soluções homográficas em mecânica celeste,FAPEMIG  ,Antonio Carlos Fernandes ,IMC 
782,1/3/2018,17/5/2024,"Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ",FAPEMIG  ,José Arnaldo Barra Montevechi,IEPG
783,1/1/2019,18/6/2024,Modelagem termodinâmica e experimentos críticos no sistema Ta-Ge-B,FAPEMIG  ,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM
790,1/12/2018,18/5/2025,Evolução química do disco e bojo de galáxias espirais,FAPEMIG  ,Oscar Cavichia de Moraes,IFQ
791,1/12/2018,17/3/2025,Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais,FAPEMIG  ,Paulo Pereira Junior,IEM
796,1/1/2019,28/3/2026,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,FAPEMIG,Jesús Antonio García Sánchez,IEM
804,1/12/2018,1/7/2024,Um sistema de apoio a diagnóstico de TEA baseado em imagens de ressonância magnética e aprendizado de máquina,FAPEMIG,"Guilherme Sousa Bastos
",IESTI
838,1/9/2019,1/5/2024,Programa de Educação Tutorial - PET Engenharia Mecânica,MEC/ FNDE,Sebastião Simões da Cunha JR,IEM
840,1/10/2019,10/4/2024,Pesquisa e Desenvolvimento de Um Sistema Integrado de Aquisição de Sinais de EEG,FAPEMIG,Tales Cleber Pimenta,IESTI
