Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
646,01/04/2018,06/05/2025,Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais,Projeto com financiamento externo,FAPEMIG,Fabrina Bolzan Martins,IRN,Vigente
649,01/02/2018,20/05/2025,Efeito de biomoléculas com propriedades redutoras na degradação de corantes e de efluente têxtil por processos Fenton,Projeto com financiamento externo,FAPEMIG,André Aguiar Mendes,IRN,Vigente
650,01/12/2017,18/01/2025,Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário,Projeto com financiamento externo,FAPEMIG,Osvaldo José Venturini,IEM,Expirado
652,01/12/2017,11/05/2025,"Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy",Projeto com financiamento externo,FAPEMIG,Patricia da Silva Lopes Alexandrino,IEM,Vigente
654,01/01/2018,06/05/2025,Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas,Projeto com financiamento externo,FAPEMIG,Danilo Henrique Spadoti,IESTI,Vigente
777,18/12/2018,17/05/2025,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola,Projeto com financiamento externo,FAPEMIG,MARCELO DE PAULA CORREA,IRN,Vigente
779,01/11/2018,18/06/2024,Estudo de configurações centrais e soluções homográficas em mecânica celeste,Projeto com financiamento externo,FAPEMIG,Antonio Carlos Fernandes,IMC,Expirado
783,01/01/2019,18/06/2024,Modelagem termodinâmica e experimentos críticos no sistema Ta-Ge-B,Projeto com financiamento externo,FAPEMIG,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM,Expirado
790,01/12/2018,18/05/2025,Evolução química do disco e bojo de galáxias espirais,Projeto com financiamento externo,FAPEMIG,Oscar Cavichia de Moraes,IFQ,Vigente
791,01/12/2018,17/03/2025,Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais,Projeto com financiamento externo,FAPEMIG,Paulo Pereira Junior,IEM,Vigente
796,01/01/2019,28/03/2026,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,Projeto com financiamento externo,FAPEMIG,JESUS ANTONIO GARCIA SANCHEZ,IEM,Vigente
804,01/12/2018,01/07/2024,Um sistema de apoio a diagnóstico de TEA baseado em imagens de ressonância magnética e aprendizado de máquina,Projeto com financiamento externo,FAPEMIG,Guilherme Sousa Bastos,IESTI,Expirado
