Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
646,01/04/2018,06/05/2025,Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais,Projeto com financiamento externo,FAPEMIG,Fabrina Bolzan Martins,IRN,Expirado
649,01/02/2018,20/05/2025,Efeito de biomoléculas com propriedades redutoras na degradação de corantes e de efluente têxtil por processos Fenton,Projeto com financiamento externo,FAPEMIG,André Aguiar Mendes,IRN,Expirado
650,01/12/2017,18/01/2025,Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário,Projeto com financiamento externo,FAPEMIG,Osvaldo José Venturini,IEM,Expirado
652,01/12/2017,11/05/2025,"Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy",Projeto com financiamento externo,FAPEMIG,Patricia da Silva Lopes Alexandrino,IEM,Expirado
654,01/01/2018,06/05/2025,Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas,Projeto com financiamento externo,FAPEMIG,Danilo Henrique Spadoti,IESTI,Expirado
777,18/12/2018,17/05/2025,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ,Projeto com financiamento externo,FAPEMIG,MARCELO DE PAULA CORREA,IRN ,Expirado
790,01/12/2018,18/05/2025,Evolução química do disco e bojo de galáxias espirais,Projeto com financiamento externo,FAPEMIG  ,Oscar Cavichia de Moraes,IFQ,Expirado
791,01/12/2018,17/03/2025,Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais,Projeto com financiamento externo,FAPEMIG  ,Paulo Pereira Junior,IEM,Expirado
796,01/01/2019,28/03/2026,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,Projeto com financiamento externo,FAPEMIG,JESUS ANTONIO GARCIA SANCHEZ,IEM,Vigente
841,01/08/2019,01/07/2025,"Teoria de Singularidades e Aplicações à Geometria Diferencial, Equações Diferenciais e Visão Computacional ",Projeto com financiamento externo,FAPESP ,Luis Fernando de Osório Mello,IMC,Expirado
PVDI120-2020,01/11/2020,31/12/2025,"Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce
",Projeto com financiamento externo,FAPEMIG,"
ARCILAN TREVENZOLI ASSIREU",IRN,Vigente
