N�;Nome do Projeto;In��cio;T�mino;Status;�rg�o Financiador;Recursos Internos ;Recursos Externos ;Participa��o     Inicio e fim;Equipe;Instituto Vinculado;Cargo (Aluno/ Coordenador/ Professor);Carga Hor�ria;Observa��es;Nota;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;Expirado;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Jamil Haddad;EXCEN/PROEX;Coordenador;48;Arquivado Caixa A;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Edson da Costa Bortoni;ISEE;Docente;16;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Juliana Garcia Cespedes;;Docente externo;16;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Luiz Augusto Horta Nogueira;IRN;Docente;16;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Marcos Vinícius Xavier Dias;;Discente;120;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Roberto Akira Yamachita;ISEE;Docente;120;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Carlos Eduardo Gonçcalves;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Nivaldo Gonçcalves de Faria 11662;;Discente;32;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Pablo Correa Fonseca 13147;;Discente;32;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Ana Alice Antunes Haddad ;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Felício Murbach Travareli 11935;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Felipe Facincani Pereira 13823;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Leandro Magalhães Piersanti 14508;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Marcelo Hideki Akimura 13837;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Matheus Pereira Caminha 13884;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Matheus Rodrigues da Silva 19196;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Raphael Carvalhães Pina Camanzi 13846;;Discente;48;;;;
1;Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL;01/09/2008;01/09/2012;;Eletrobrás;R$ 199.296,00;R$ 1.662.082,00;09/2008 a 09/2012;Raphael Francisco Gritti Ferreira 13842;;Discente;48;;;;
