Número de registro na DPI ;Título do Projeto;Data de Registro;Início da vigência;Témino da vigência;Status;Órgão Financiador; Recursos Internos ; Recursos Externos ;Bolsa Pesquisa;Mestrado/Doutorado;IC;Participação     Inicio e fim;Coordenador;Instituto Vinculado;Observações;Nota de mérito (projetos sem financiamento externo)
257;Desenvolvimento de um Microsistema de Eletrocardiografia para o Monitoramento e o apoio a diagnóstico remoto de pacientes cardiopatas;03/06/2014;jan/14;dez/19;Vigente;FINEP - Edital DECIIS;R$ 237.500,00;R$ 1.200.910,00;1;1;0;01/2014 a 12/2019;Luis Henrique de Carvalho Ferreira;IESTI;Prorrogado até 12/2018   -   Prorrogado para 12/2019 em 07/12/2018;
514;Os sonhos e as verdades nos cursos de Engenharia: as narrativas sobre a constituição do profissional entre palavras e ações;08/06/2016;jun/16;jun/20;Vigente;sem financiamento externo;;;;;;08/2017 a 06/2020;Rogério Rodrigues;IFQ;Edital 002/2016 Suspenso em decorrência do afastamento do coordenador- Reativado em 01/08/2017 - Projeto prorrogado em 27/06/2018 para 03/2019 - - Projeto prorrogado em 29/01/2019 para 06/2020; 8,10 
518;Estudos de Estabilidade de tensão considerando a inserção de Energias Renováveis;21/06/2016;mar/16;fev/20;Vigente;CNPq; R$ 110.400,00 ;;;;;03/2016 a 02/2020;Antonio Carlos Zambroni de Souza;ISEE;;
525;Efeitos de vácuo Quantico;12/07/2016;jul/16;fev/22;Vigente;CNPq; R$ 39.600,00 ;;;;;07/2016 a 02/2022;Fabricio Augusto Barone Rangel;IFQ;Memorando nº 435/2016 - IFQ - prorrogado em 03/19 até 02/2022;
527;Flutuações quânticas de campos na presença de meios materiais;13/07/2016;jul/16;fev/20;Vigente;CNPq; R$ 17.480,00 ;;;;;07/2016 a 02/2020;Vitorio Alberto De Lorenci;IFQ;;
536;Desenvolvimento de Tecnologias e procedimentos eficientes para gestão Hidroenergética em sistemas de Distribuição de Água - Programa Pesquisador Mineiro;19/01/2013;01/jan;abr/20;Vigente;FINEP;;420.000,00;;;;01/2013 a 02/2018;Fernando das Graças Braga da Silva;IRN;Processo nº 23088.021328/2016-18 - enviado á DPI em 07/12/2016 - pedido de alteração de vigência em 22/02/2017 para 02/2018 - Relatorio Final entregue em 11/05/2018 // Vigência prorrogada para 30/04/2020 prorrogação realizada em 17/07/2019;
544;Caos  e ordem em dinâmica em superfícies;10/02/2017;fev/17;jan/20;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2019;JUAN VALENTIN MENDOZA MOGOLLON;IMC;Prorrogado em 12/12/18 até 01/2020.; 8,96 
548;Correções de ordem superior em teorias supersimétricas de cordas;10/02/2017;fev/17;fev/20;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2019;Ricardo Ivan Medina Bascur;IMC;Projeto prorrogado em 29/01/2019 para 02/2020; 9,50 
556;Estudo experimental e modelagem termodinâmica dos sistemas ternários: Nb-V-Zr e Ti-V-Zr;10/02/2017;fev/17;dez/19;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2019;Antonio Augusto Araújo Pinto da Silva;IEM;Prorrogado em 29/10/2018 para 12/2019; 9,93 
570;PROPOSIÇÃO DE UM PROGRAMA DE GESTÃO E MANEJO DO SOLO E ÁGUA PARA FINS DE MITIGAÇÃO DE EVENTOS DE ESTIAGEM NA BACIA DO RIO SAPUCAÍ.;13/02/2017;fev/17;fev/20;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2019;Eliane Guimarães Pereira Melloni;IRN;Vigência prorrogada até 02/2020. (em 30/10/2018); 8,18 
575;SIMULAÇÃO DE PROPAGAÇÃO DE ONDAS ULTRASSÔNICAS APLICADAS EM ENSAIOS NÃO DESTRUTIVOS.;13/02/2017;fev/17;jan/20;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2020;Paulo Pereira Junior;IEM;Prorrogado em 09/04/2019 até 01/2020; 8,65 
582;Uso de trans-séries resurgentes em Mecânica Quântica e Teoria de Cordas.;13/02/2017;fev/17;fev/20;Vigente;sem financiamento externo;;;;;;fev/2017 a jan/2018;Ricardo Iván Medina Bascur;IMC;Prorrogado em 18/04/18 até 02/2019.- Projeto prorrogado em 29/01/2019 para 02/2020; 6,61 
584;OBSERVATÓRIO DE DESENVOLVIMENTO E CULTURA NO SUL DE MINAS GERAIS;13/02/2017;set/16;abr/20;Vigente;FAPEMIG;;50.400,00;bolsas;bolsas;bolsas;set/16 a set/18;Carlos Alberto Maximo Pimenta;IEPG;Prorrogado em 30.01.2019 para 06/2019 // Prorrogado em 02/07/2019 para 30/04/2020;
585;AUTOMATIZAÇÃO DE PARAMETROS DE CONTROLE VISANDO A ESTABILIDADE DE TENSAO EM SISTEMAS ELETRICOS DE POTENCIA;13/02/2017;mar/16;fev/21;Vigente;CNPQ;;66.000,00;bolsas;bolsas;bolsas;mar/16 a fev/2021;Benedito isaias de lima lopes;ISEE;;
592;Aeronaves remotamente pilotadas em inspeção de Linha de Transmissão;22/03/2017;mar/17;fev/20;Vigente;CNPq;;39.600,00;bolsas;2;2;mar/17 a fev/20;Alexandre Carlos Brandão Ramos;VIscap;;
594;Equações diferenciais parciais não-lineares com expoentes variáveis;08/06/2017;mar/17;abr/20;Vigente;FAPEMIG;;50.400;bolsas;bolsas;bolsas;mar/2017 a set/2018;Jacson Simsen;IMC;enviado por sipac. Mem. 268/2017 - IMC // Projeto prorrogado de 01/09/2018 para 30/04/2020 em 07/08/2019;
595;Metodologia de Projeto do Lean Office para Instituição de Ensino Superior Federal - Edital Universal CNPq 2016;20/06/2017;jun/17;jun/20;Vigente;CNPq;;3.084,00;0;0;0;jun/2017 a jun/20;Carlos Eduardo Sanches da Silva;IEPG;;
598;Processo de tomada de decisão em transportes: abordagem multicritério integrada a outros métodos de análise ;26/06/2017;mar/17;fev/20;Vigente;CNPq;;39.600,00;bolsas;bolsas;bolsas;mar/2017 a fev/2020;Josiane Palma Lima;IEPG;;
601;APRENDIZADO DE MÁQUINA VIA APRENDIZAGEM PROFUNDA (DEEP LEARNING);22/05/2017;jul/17;dez/19;Vigente;sem financiamento externo;;;;;;07/17 a 12/19;Isabela Neves Drummond;IMC;Prorrogado em 13/12/17 para até 12/2018. Prorrogado em 09/05/2018 para 12/2019; 9,47 
617;PROJETO AERODINÂMICO E SIMULAÇÃO COMPUTACIONAL DE TURBINAS EÓLICAS DE PEQUENO PORTE;05/10/2017;jul/17;jun/20;Vigente;sem financiamento externo;;;;;;07/17 a 06/20;Angie Lizeth Espinosa Sarmiento;IEM;Prorrogado de 06/2019 para 06/2020 em 15/05/2019; 8,68 
620;Técnicas de descoberta de conhecimento aplicadas a dados espectrais para o monitoramento do status hídrico em áreas cafeeiras de Minas Gerais;04/10/2017;jul/17;dez/19;Vigente;sem financiamento externo;;;;;;07/17 a 12/19;Vanessa Cristina Oliveira de Souza;IMC;Prorrogado em 13/12/17 para até dez/2018 -  Prorrogado em 11.05.2018 para 12/2019; 9,09 
623;Caracterização das propiedades estruturais e ópiticas de cristais fotônicos emissores de luz fabricados por corrosão do silicio para aplicações em dispositivos optoeletrônicos.;29/06/2017;mar/17;fev/20;Vigente;FAPEMIG;;31.842,50;0;0;0;mar/2017 a 02/2020;Danilo Roque Huanca;IFQ;Projeto prorrogado de 03/2019 para 02/2020 em 17/04/2019 ;
624;Fabricação de cristais fotônicos emissores de luz de alto desempenho baseados em silicio poroso para aplicações em dispositivos optoeletronicos e sensores opticos.;29/06/2017;mar/17;fev/20;Vigente;CNPq;;31.540,00;0;0;0;mar/2017 a 02/2020;Danilo Roque Huanca;IFQ;Projeto prorrogado de 03/2019 para 02/2020 em 17/04/2019 ;
625;Arquitetura Híbrida para Coordenação de Sistemas Multirrobô por Processamento Distribuído na Nuvem;06/07/2017;jun/17;ago/20;Vigente;FAPEMIG;;0,00;0;2;0;jun/2017 a 08/2020;"Guilherme Sousa Bastos
";IESTI;Análise de mérito  // Projeto prorrogado de 01/05/2019 para 08/2020 em 17/05/2019; 10,00 
626;Sistema Integrado de Aquisição de Sinais de Eletroencefalografia;06/07/2017;jul/17;jun/20;Vigente;CNPq;;16.785,00;0;4;2;jul/2017 a jun/2020;Tales Cleber Pimenta;IESTI;;
627;"Bioluminescência de artrópodes: Diversidade biológica em biomas brasileiros;origem bioquímica;evolução estrutural/funcional de luciferases;diferenciação molecular das lamternas;aplicações biotecnológicas ambientais e educacionais.";06/07/2017;mai/17;abr/22;Vigente;FAPESP;;639.467,37;;;;05/17 a 04/22;Simone Policena Rosa;IRN;;
629;Desenvolvimento de Dispositivos Implantáveis de CMOS de Baixo Consumo e Baixa Potência para Aplicações Médicas;10/07/2017;mar/17;fev/21;Vigente;CNPq;;39.600,00;;;;03/2017 a 02/2020;Robson Luiz Moreno;IESTI;Prorrogado de 02/2019 para 02/2021 em 15/05/2019;
630;A HISTÓRIA DA MATEMÁTICA NA FORMAÇÃO DE PROFESSORES DE MATEMÁTICA NAS UNIVERSIDADES FEDERAIS BRASILEIRAS;13/07/2017;jul/17;jun/20;Vigente;CNPq;;9.800,00;;;;07/2017 a 06/2020;Mariana Feiteiro Cavalari Silva;IMC;;
634;Sistema Integrado de Aquisição de Sinais de Eletroencefalografia;07/08/2017;jul/17;jun/20;Vigente;CNPq;;16.785,00;;;;07/2017 a 06/2020;Tales Cleber Pimenta;IESTI;;
635;Método de Otimização por interseção normal à fronteira para escores fatoriais rotacionados ;13/10/2017;mar/16;mar/20;Vigente;CNPq;;;;;;03/16 a 03/20;Anderson Paulo de Paiva;IEPG;;
638;Modelo automatizado de medição e monitoramento do Sistema de Gestão da Qualidade da Cemig;23/11/2017;nov/17;nov/19;Vigente;sem financiamento externo;;;;;;11/17 a 11/19;Carlos Eduardo Sanches da Silva;IEPG;"""Mérito reconhecido"""; 10,00 
639;Estudo e previsão de precipitação e vazão ao longo do Rio Sapucaí que imapctam o município de Itajubá - MG;29/11/2017;nov/17;nov/20;Vigente;FAPEMIG;;55.434,75;;;;11/17 a 11/20;Michelle Simões Reboita;IRN;;
642;Radiação de corpo negro escalar na presença de fronteiras;29/11/2017;dez/17;dez/19;Vigente;FAPEMIG;;;;;;12/2017 a 12/2019;Edisom de Souza Moreira Júnior;IMC;;
644;Investigação e caracterização das construções metodológicas de grupos de planejamento conjunto empreendidas por docentes do ensino superior de ciências da natureza;12/12/2017;dez/17;dez/19;Vigente;FAPEMIG;;28.707,00;;;;12/17 a 12/19;João Ricardo Neves da Silva;IFQ;;
645;Geometria de curvas planas ,sistemas hamiltonianos e sistemas descontínuos;23/02/2018;dez/17;dez/19;Vigente;FAPEMIG;;24.307,50;;;;12/17 a 12/19;Fábio Scalco Dias;IMC;;
646;Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais;29/11/2017;abr/18;ago/20;Vigente;FAPEMIG;;32.396,70;;;;04/18 a 08/20;Fabrina Bolzan Martins;IRN;;
647;Computação científica para obtenção de parametros fundamentais de aglomerados urbanos ;29/11/2017;nov/17;nov/19;Vigente;FAPEMIG;;R$46.200,00;;;;;Hektor Sthenos Ales Monteiro;IFQ;;
650;Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário;29/11/2017;dez/17;dez/19;Vigente;FAPEMIG;;22.575,00;;;;12/17 a 12/19;Osvaldo José Venturini;IEM;;
651;Identificação de oportunidades de pesquisa em Engenharia de Produção: Levantamento nos setores comercial e industrial da cidade de Itabira (MG) ;13/03/2018;dez/17;dez/19;Vigente;FAPEMIG;;5.635,98;;;;12/17 a 12/19;Sandra Miranda Neves;IEPG;;
652;Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy;29/11/2017;dez/17;dez/19;Vigente;FAPEMIG;;3.517,50;;;;12/17 a 12/19;Patricia da Silva Lopes Alexandrino;IEM;;
653;Avaliação de recursos eólicos em sistemas aquáticos por plataformas flutuantes estabilizadas;29/11/2017;mar/18;mar/20;Vigente;FAPEMIG;;59.000,00;;;;03/18 a 03/20;Arcilan Trevenzoli Assireu;IRN;;
654;Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas;29/11/2017;jan/18;dez/19;Vigente;FAPEMIG;;42.262,50;;;;01/18 a 12/19;Danilo Henrique Spadoti;IESTI;;
655;Modelagem Numérica Da Transferência De Calor Em Dissipadores E De Sistemas Bifásicos Microfluídicos;29/11/2017;fev/18;fev/20;Vigente;FAPEMIG;;24.360,00;;;;02/18 a 02/20;Ana Lúcia Fernandes de Lima e Silva;IEM;;
656;Projeto E Construção De Uma Câmara De Combustão De Pequeno Porte Com Queima Convencional E Sem Chama Visível Usando Óleo Pirolítico De Pneus Usados, Biodiesel De Óleo De Fritura E Diesel S10;29/11/2017;nov/17;nov/19;Vigente;FAPEMIG;;36.330,00;;;;11/2017 a 11/2019;Christian Jeremi Coronado Rodriguez;IEM;;
658;Validação das respostas fotobiológicas para a radiação ultravioleta a partir de medidas espectrais e integradas;06/12/2017;set/16;ago/20;Vigente;FAPEMIG;;;;;;09/16 a 09/18;Marcelo de Paula Corrêa;IRN;Projeto prorrogado em 06/08/2019 de 01/09/2018 para 06/08/2020;
659;Radiação UV Biologicamente ativa : Novas perspectivas no conhecimento de sua interação com componentes da atmosfera a partir de medidas espectrais;06/12/2017;mar/17;fev/20;Vigente;CNPq;;39.600,00;;;;03/17 a 02/20;Marcelo de Paula Corrêa;IRN;;
660;Avaliação de substâncias carcinogênicas;06/12/2017;dez/17;dez/19;Vigente;CNPq;;29.939,94;;;;12/17 a 12/19;FlávioSoares Silva;IFQ;;
661;Estabilidade de tensão e redes inteligentes:Interação e efeitos;06/12/2017;fev/18;jan/20;Vigente;FAPEMIG;;25.200,00;;;;02/18 a 01/20;Antonio Carlos Zambroni de Souza;ISEE;;
663;AgroShare: um sistema para o compartilhamento e comércio de recursos agropecuários em propriedades rurais;06/02/2018;jan/18;dez/19;Vigente;sem financiamento externo;;;;;;01/18 a 12/19;Bruno Guazzelli Batista;IMC;; 8,22 
665;Aplicação da Ferramenta de Aproximação Vetorial na Modelagem de Transformadores de Distribuição;23/01/2018;fev/18;fev/20;Vigente;sem financiamento externo;;;;;;02/18 a 02/19;Gustavo Paiva Lopes;ISEE;Prorrogado em 08/02/2019 até 02/2020; 8,82 
667;Avaliação da aderência microbiana e biofilme formada Candida albicans e Staphylococcus aureus sobre a liga Ti-30Ta ;;mar/18;mar/21;Vigente;sem financiamento externo;;;;;;03/2018 a 03/2021;Daniela Sachs;IFQ;Projeto prorrogado de 01/03/2020 para 01/03/2021 em 20/08/2019; 9,11 
669;CARACTERIZAÇÃO DO CICLO DE VIDA DAS PROPRIEDADES ELÉTRICAS E FÍSICAS DAS TEMPESTADES NA REGIÃO SUDESTE DO BRASIL;16/08/2018;mar/18;mar/20;Vigente;sem financiamento externo;;;;;;03/2018 a 03/2020;Enrique Vieira Mattos;IRN;; 9,41 
670;Caracterização dos conhecimentos produzidos por professores e futuros professores de Matemática e Física em um Grupo Colaborativo de planejamento conjunto;13/03/2018;dez/17;dez/20;Vigente;sem financiamento externo;;;;;;12/17 a 12/19;João Ricardo Neves da Silva;IFQ;Projeto prorrogado em 07/08/2019 de 01/12/2019 para 01/12/2020; 8,23 
