Número de registro na DPI ,Título do Projeto,Data de Registro,Início da vigência,Témino da vigência,Status,Órgão Financiador, Recursos Internos , Recursos Externos ,Bolsa Pesquisa,Mestrado/Doutorado,IC,Participação     Inicio e fim,Coordenador,Instituto Vinculado,Observações,Nota de mérito (projetos sem financiamento externo)
Atualização em 12-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Convênio de Cooperação Técnico-Financeira para o desenvolvimento de ações integrantes do Programa Nacional de Conservação de Energia Elétrica - PROCEL,1/9/2008,set/08,set/12,Expirado,Eletrobrás,"R$ 199.296,00","R$ 1.662.082,00",21,1,0,09/2008 a 09/2012,Jamil Haddad,EXCEN/PROEX,Arquivado Caixa A,
2,Equipe Uai!rrior de robótica,1/2/2010,fev/10,jan/11,Expirado,,,,0,0,0,02/2010 a 01/2011,Tales Cleber Pimenta,IESTI,Arquivado Caixa A,
3,Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT,1/6/2010,jun/10,mai/12,Expirado,CNPq e FAPEMIG,"R$ 0,00","R$ 124.020,00",5,0,0,06/2010 a 05/2012,Claudio Kirner,IMC,Arquivado Caixa A,
4,Reflexões sobre a Ideia de Desenvolvimento: Construção do Estado da Arte,1/8/2010,ago/10,ago/11,Expirado,,"R$ 0,00","R$ 0,00",0,0,0,08/2010 a 08/2011,Carlos Alberto Máximo Pimenta,IEPG,Arquivado Caixa A                  ,
5,Tecnologias para suporte ao processo de negociação,1/8/2010,ago/10,jul/12,Expirado,,"R$ 0,00","R$ 0,00",0,0,0,08/2010 a 07/2012,Melise Maria Veiga de Paula,IMC,Arquivado Caixa A  ,
6,"Implementação de um sistema de acionamento tiristorizado para viabilização de um grupo conversor rotativo 35[KVA], para os laboratórios didáticos da UNIFEI",1/11/2010,nov/10,nov/11,Expirado,,"R$ 0,00","R$ 0,00",0,0,0,11/2010 a 11/2011,Angelo José Junqueira Rezek,ISEE,Arquivado Caixa A  ,
7,Determinação da dureza de aços auxiliada pelo processamento digital de imagens,1/11/2010,nov/10,out/11,Expirado,,"R$ 0,00","R$ 0,00",0,0,0,11/2010 a 10/2011,Daniel Thomazini ,IEM,Arquivado Caixa A,
8,Estudo das Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica,1/11/2010,nov/10,nov/12,Expirado,FAPEMIG,"R$ 0,00","R$ 49.907,21",0,0,0,11/2010 a 11/2012,Rero Marques Rubinger,IFQ,Arquivado Caixa A,
