Código,Título do Projeto de Pesquisa,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente),Entrega de relatório (observações)
639,Estudo e previsão de precipitação e vazão ao longo do Rio Sapucaí que impctam o município de Itajubá - MG,1/11/2017,6/4/2023,Expirado,FAPEMIG,"R$ 55.434,75",Michelle Simões Reboita,IRN,Coordenador,Arquivado - Relatório final entregue
642,Radiação de corpo negro escalar na presença de fronteiras,1/12/2017,6/5/2024,Vigente,FAPEMIG,"R$ 5.250,00",Edisom de Souza Moreira Júnior,IMC,Coordenador,503 FAPEPE- Prorrogado até 05/2024 de acordo com Carta Aditiva recebida em 02/2022
645,"Geometria de curvas planas ,sistemas hamiltonianos e sistemas descontínuos",1/12/2017,6/5/2024,Vigente,FAPEMIG,"R$ 24.307,50",Fábio Scalco Dias,IMC,Coordenador,505 FAPEPE Prorrogado de 01/12/2019 para 06/12/21 em 21/05/2020 - Prorrogado até 05/2024 de acordo com Carta Aditiva recebida em 02/2022
646,Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais,1/4/2018,6/5/2025,Vigente,FAPEMIG,"R$ 32.396,70",Fabrina Bolzan Martins,IRN,Coordenador,510  FAPEPE – Prorrogado de 01/08/2020 para 06/12/2021 em 11/05/2020/ Prorrogado em 07/2021 para 07/2022 ( prorrogação autorizada email 13/07/2022)- Prorrogado em 09/2021 para 12/2022- Prorrogado até 05/2025 de acordo com Carta Aditiva
649,Efeito de biomoléculas com propriedades redutoras na degradação de corantes e de efluente têxtil por processos Fenton,1/2/2018,20/5/2024,Vigente,FAPEMIG,"R$ 14.949,00",André Aguiar Mendes,IRN,Coordenador,521 FAPEPE – Demanda Universal 01/2017 // Projeto prorrogado para 20/12/2021/ Prorrogado até 07/2022/ Prorrogado até 05/2024
650,Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário,1/12/2017,18/5/2024,Vigente,FAPEMIG,"R$ 22.575,00",Osvaldo José Venturini,IEM,Coordenador,Prorrogado até 18/05/2024 conforme carta aditiva - 520 FAPEPE
652,"Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy",1/12/2017,11/5/2025,Vigente,FAPEMIG,"R$ 3.517,50",Patricia da Silva Lopes Alexandrino,IEM,Coordenador,Prorrogado até 11/05/2025 conforme carta aditiva - 526 FAPEPE – Prorrogado de 01/12/2019 para 11/12/2021 em 09/04/2020
654,Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas,1/1/2018,6/5/2025,Vigente,FAPEMIG,"R$ 42.262,50",Danilo Henrique Spadoti,IESTI,Coordenador, Prorrogado até 06/05/2025 de acordo com Termo Aditivo da FAPEMIG
661,Estabilidade de tensão e redes inteligentes:Interação e efeitos,1/2/2018,30/4/2023,Expirado,FAPEMIG,"R$ 25.200,00",Antônio Carlos Zambroni de Souza,ISEE,Coordenador,513 FAPEPE
686,NARRATIVAS DIGITAIS E PESQUISA: possibilidades metodológicas para investigações qualitativas,1/3/2018,1/7/2023,Expirado,FAPEMIG,"R$ 11.865,00",Alessandra Rodrigues,IFQ,Coordenador,610 FAPEPE-Prorrogado até 07/2023 conforme Termo Aditivo recebido da FAPEPE . Prorrogado até 07/2022 por falta de recurso financeiro - Projeto alterado para com financiamento externo considerando a aprovação do projeto do Edital de Demanda Universal FAPEMIG (Processo APQ-00239-18) [nota anterior 8.22]
700,Otimização das condições de usinagem em materiais endurecidos ,1/1/2018,30/5/2023,Expirado,FAPEMIG,"R$ 25.200,00",João Roberto Ferreira,IEPG,Coordenador,Arquivado - Relatório final entregue - Prorrogado até 05/2023 devido a atraso no repasse de recursos.
729,Sistema de baixo custo e alto rendimento para inspeção aérea e previsão de desastres,1/12/2018,17/5/2024,Vigente,FAPEMIG  ,"R$ 65.921,86",Alexandre Carlos Brandão Ramos,IMC,Coordenador,Prorrogado de ofício pela FAPEMIG até 05/2024 - Prorrogado em 07/2021 até 07/2022 ( prorrogação autorizada email 13/07/2022)- 584 FAPEPE – demanda Universal APQ 00234-18
731,Incorporação de previsões climáticas e hidrológicas na Gestão da Alocação no Rio São Francisco,1/12/2017,31/10/2023,Vigente,CAPES,"R$ 269.000,00",Benedito Cláudio da Silva,IRN,Coordenador,Prorrogado até 10/2023 conforme comunicação da CAPES
733,Relação entre a microfísica da fase mista das tempestades e as propriedades fésicas e elétricas dos relâmpagos ,1/2/2019,28/2/2023,Expirado,CNPq,"R$ 27.640,00",Enrique Vieira Mattos,IRN,Coordenador,Prorrogado em 02/2022 até 02/2023
735,Desenvolvimento Proteses para membros inferiores hibridas em impressão 3D ABS reforçadas com fibra de carbono/epóxi,1/12/2018,31/8/2023,Expirado,CNPq,"R$ 25.000,00",Guilherme Ferreira Gomes,IEM,Coordenador,Prorrogado até 08/2023 de acordo com Termo Aditivo do CNPq - Prorrogado até 28/02/2022 conforme comprovação apresentada( Plataforma Carlos Chagas - enviada em 15/07/2021)
736,Detecção de porosidade em materiais compósitos utilizando ondas ultrassônicas,1/2/2019,28/2/2023,Expirado,CNPq,"R$ 20.000,00",Paulo Pereira Junior,IEM,Coordenador,Prorrogado até 28/02/2023 de acordo com carta aditiva 
