Código,Título do Projeto,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente)
639,Estudo e previsão de precipitação e vazão ao longo do Rio Sapucaí que impctam o município de Itajubá - MG,1/11/2017,6/4/2023,Expirado,FAPEMIG,"R$ 55.434,75",Michelle Simões Reboita,IRN,Coordenador
642,Radiação de corpo negro escalar na presença de fronteiras,1/12/2017,6/5/2024,Vigente,FAPEMIG,"R$ 5.250,00",Edisom de Souza Moreira Júnior,IMC,Coordenador
645,"Geometria de curvas planas ,sistemas hamiltonianos e sistemas descontínuos",1/12/2017,6/5/2024,Vigente,FAPEMIG,"R$ 24.307,50",Fábio Scalco Dias,IMC,Coordenador
646,Impacto das mudanças climáticas nas culturas de clima temperado para Minas Gerais,1/4/2018,6/5/2025,Vigente,FAPEMIG,"R$ 32.396,70",Fabrina Bolzan Martins,IRN,Coordenador
649,Efeito de biomoléculas com propriedades redutoras na degradação de corantes e de efluente têxtil por processos Fenton,1/2/2018,20/5/2024,Vigente,FAPEMIG,"R$ 14.949,00",André Aguiar Mendes,IRN,Coordenador
650,Avaliação teórica e experimental do emprego de energia heliotérmica para a secagem e higienização de lodo sanitário,1/12/2017,18/5/2024,Vigente,FAPEMIG,"R$ 22.575,00",Osvaldo José Venturini,IEM,Coordenador
652,"Análise e formulação de problema inverso robusto para a detecção de danos em estruturas por meio de técnicas de identificação de parâmetros, otimização e tomada de decisão Fuzzy",1/12/2017,11/5/2025,Vigente,FAPEMIG,"R$ 3.517,50",Patricia da Silva Lopes Alexandrino,IEM,Coordenador
654,Desenvolvimento de arranjos de antenas banda-larga assistidos por lentes dielétricas,1/1/2018,6/5/2025,Vigente,FAPEMIG,"R$ 42.262,50",Danilo Henrique Spadoti,IESTI,Coordenador
686,NARRATIVAS DIGITAIS E PESQUISA: possibilidades metodológicas para investigações qualitativas,1/3/2018,1/7/2023,Expirado,FAPEMIG,"R$ 11.865,00",Alessandra Rodrigues,IFQ,Coordenador
729,Sistema de baixo custo e alto rendimento para inspeção aérea e previsão de desastres,1/12/2018,17/5/2024,Vigente,FAPEMIG  ,"R$ 65.921,86",Alexandre Carlos Brandão Ramos,IMC,Coordenador
731,Incorporação de previsões climáticas e hidrológicas na Gestão da Alocação no Rio São Francisco,1/12/2017,31/10/2023,Expirado,CAPES,"R$ 269.000,00",Benedito Cláudio da Silva,IRN,Coordenador
735,Desenvolvimento Proteses para membros inferiores hibridas em impressão 3D ABS reforçadas com fibra de carbono/epóxi,1/12/2018,31/8/2023,Expirado,CNPq,"R$ 25.000,00",Guilherme Ferreira Gomes,IEM,Coordenador
777,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ,18/12/2018,17/5/2024,Vigente,FAPEMIG,"R$ 69.678,00",Marcelo de Paula Corrêa,IRN ,Coordenador
779,Estudo de configurações centrais e soluções homográficas em mecânica celeste,1/11/2018,18/6/2024,Vigente,FAPEMIG  ,"R$ 32.025,00",Antonio Carlos Fernandes ,IMC ,Coordenador
781,Detecção e Identificação de danos estruturais o por meio de inteligência computacional ,19/12/2018,18/12/2023,Expirado,FAPEMIG  ,"R$ 21.630,00",Guilherme Ferreira Gomes,IEM,Coordenador
782,"Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ",1/3/2018,17/5/2024,Vigente,FAPEMIG  ,"R$ 40.677,00",José Arnaldo Barra Montevechi,IEPG,Coordenador
783,Modelagem termodinâmica e experimentos críticos no sistema Ta-Ge-B,1/1/2019,18/6/2024,Vigente,FAPEMIG  ,"R$ 21.525,00",Antonio Augusto Araújo Pinto da Silva,IEM,Coordenador
790,Evolução química do disco e bojo de galáxias espirais,1/12/2018,18/5/2025,Vigente,FAPEMIG  ,"R$ 17.503,50",Oscar Cavichia de Moraes,IFQ,Coordenador
791,Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais,1/12/2018,17/3/2025,Vigente,FAPEMIG  ,"R$ 13.650,00",Paulo Pereira Junior,IEM,Coordenador
796,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,1/1/2019,28/3/2026,Vigente,FAPEMIG,"R$ 23.100,00 ",Jesús Antonio García Sánchez,IEM,Coordenador
804,Um sistema de apoio a diagnóstico de TEA baseado em imagens de ressonância magnética e aprendizado de máquina,1/12/2018,1/7/2024,Vigente,FAPEMIG,"R$ 70.323,00","Guilherme Sousa Bastos
",IESTI,Coordenador
833,PET- Programa de educação tutorial conexões de saberes: formação de professores em ciências exatas,1/3/2013,1/3/2050,Vigente,CAPES- FNDE,"R$ 9.600,00",Agenor Pina da Silva,IFQ,Coordenador
838,Programa de Educação Tutorial - PET Engenharia Mecânica,1/9/2019,1/5/2024,Vigente,MEC/ FNDE,,Sebastião Simões da Cunha JR,GEMEC,Coordenador
840,Pesquisa e Desenvolvimento de Um Sistema Integrado de Aquisição de Sinais de EEG,1/10/2019,10/4/2024,Vigente,FAPEMIG,"R$ 50.400,00",Tales Cleber Pimenta,IESTI,Coordenador
842,Diseño aerodinámico de una turbina eólica de eje vertical de baja potencia para aplicaciones en una región con importante potencial eólico en Boyacá,1/1/2020,31/3/2024,Vigente,Universidad Santo Tomás - Seccional Tunja - Colômbia,"R$ 643.000,00", Angie Lizeth Espinosa Sarmiento,IEM,Coordenador
PIDI100-2020,"Levantamento de características e formas de tratamento de efluentes industriais brasileiros
",1/8/2020,30/7/2023,Expirado,Não possui ,,André Aguiar Mendes,IRN,Coordenador
PIDI72-2020,Materiais lamelares intercalados/funcionalizados com moléculas orgânicas para a produção de sensores químicos.,1/8/2020,30/7/2023,Expirado,Não possui ,,Fábio da Silva Lisboa,IFQ,Coordenador
PIDI85-2020,"Análise de viabilidade para desenvolvimento de arquitetura neuromórfica de baixa potência visando a implementação de um controlador MPPT para célula solar fotovoltaica em um sistema de energy harvesting.
",1/8/2020,30/7/2023,Expirado,Não possui ,,"
GABRIEL ANTONIO FANELLI DE SOUZA",IESTI,Coordenador
PIDI75-2020,"Síntese e Caracterização de Sistemas Azólicos com Potencial Atividade Tripanocida
",1/8/2020,30/7/2023,Expirado,Não possui ,,Maurício Silva dos Santos,IFQ,Coordenador
PVDI81-2020,"Estudo da viabilidade da união de processos para tratamento de efluentes
",1/8/2020,30/7/2023,Expirado,Não possui ,,Milady Renata Apolinário da Silva,IFQ,Coordenador
PIDI103-2020,"Metodologias Ativas na Educação em Ciências da Natureza e Matemática
",1/8/2020,30/7/2023,Expirado,Não possui ,,"
NEWTON DE FIGUEIREDO FILHO",IFQ,Coordenador
PVDI33-2019,"Estudo Teórico-Experimental em Transferência de Calor com Ênfase no Desenvolvimento de Técnicas de Problemas Inversos
",1/1/2019,17/6/2025,Vigente,FAPEMIG,"R$ 50.610,00 ",Sandro Metrevelle Marcondes de Lima e Silva,IEM,Coordenador
PVDI113-2020,"PET: Formação de Professores em Ciências Exatas
",1/8/2020,31/12/2023,Expirado,CAPES," R$ 108.000,00  ","
AGENOR PINA DA SILVA",IFQ,Coordenador
PVDI120-2020,"Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce
",1/11/2020,31/12/2025,Vigente,FAPEMIG,"R$ 943.558,31 ","
ARCILAN TREVENZOLI ASSIREU",IRN,Coordenador
PVDI105-2020,"Biocombustíveis a partir de resíduos: combustão, energia e ciclos não convencionais
",1/3/2020,31/3/2024,Vigente,CNPq,"R$ 105.600,00 ","
CHRISTIAN JEREMI CORONADO RODRIGUEZ",IFQ,Coordenador
PIDI91-2018 ,Desenvolvimento de Próteses Híbridas para Membros Inferiores com Reforços 3D ,1/3/2018,18/6/2025,Vigente,FAPEMIG,"R$ 59.220,00 ",ANTONIO CARLOS ANCELOTTI JUNIOR ,IEM,Coordenador
PVDI119-2018 ,Umbílicos em Superfícies Convexas e Injetividade Global ,18/12/2018,17/3/2025,Vigente,FAPEMIG,"R$ 43.614,90 ",Luis Fernando de Osório Mello,IMC,Coordenador
PIA5-2017 ,Computação Científica para obtenção de parametros fundamentais de aglomerados abertos ,1/11/2017,23/5/2023,Expirado,FAPEMIG,"R$ 46.200,00 ",Hektor Sthenos Alves Monteiro,IFQ,Coordenador
PIDI68-2017 ,Desenvolvimento e integração entre os processos síntese de metanol e MTO (methanol-to-olefins) em microescala usando fluidodinâmica computacional ,1/11/2017,15/5/2025,Vigente,FAPEMIG,"R$ 33.445,45 ",Maximilian Joachim Hodapp,IRN,Coordenador
PIDI112-2020,Monitoramento espectral para estimativa das condições hídricas de áreas cafeeiras ,1/2/2020,31/1/2024,Expirado,EMBRAPA,"R$ 3.120.274,85",VANESSA CRISTINA OLIVEIRA DE SOUZA ,IMC,Coordenador Local
PVDI127-2017 ,Fluidos magnetoreológicos dilatantes ,1/11/2017,20/5/2024,Vigente,FAPEMIG,"R$ 26.553,89",Antonio José Faria Bombard,IFQ,Coordenador
PVDI128-2021,"Teoria Qualitativa das Equações Diferenciais, Mecânica Celeste e Conjectura Jacobiana",1/3/2021,28/2/2025,Vigente,CNPq,"R$ 105.600,00",Luis Fernando de Osório Mello,IMC,Coordenador
PVDI130-2021,Análise Numérica e Experimental em Transferência de Calor e Aplicações em Problemas Inversos,1/3/2021,29/2/2024,Vigente,CNPq,"R$ 39.600,00",Sandro Metrevelle Marcondes de Lima e Silva,IEM,Coordenador
PVDI194-2021,Otimização via Simulação por Metamodelagem: uma Nova Abordagem Utilizando Machine Learning,1/3/2021,1/3/2024,Vigente,CNPq,"R$ 39.600,00",Rafael de Carvalho Miranda,IEPG,Coordenador
PVDI181-2021,Ciclos Limites em Sistemas Suaves por Partes,1/8/2021,31/7/2023,Expirado,,,DENIS DE CARVALHO BRAGA,IMC,Coordenador
PIDI163-2021,"Desenvolvendo o raciocínio matemático, a comunicação e a conexão de conteúdos, através da Resolução de Problemas e Tarefas de Exploração",1/8/2021,31/7/2023,Expirado,,,Flávia Sueli Fabiani Marcatto,IMC,Coordenador
PVDI187-2021,Combinação de modelos de aprendizado de máquina no estudo de dados da COVID-19.,1/8/2021,31/7/2023,Expirado,,,ISABELA NEVES DRUMMOND,IMC,Coordenador
